chroma_stft,rmse,spectral_centroid,spectral_bandwidth,rolloff,zero_crossing_rate,mfcc1,mfcc2,mfcc3,mfcc4,mfcc5,mfcc6,mfcc7,mfcc8,mfcc9,mfcc10,mfcc11,mfcc12,mfcc13,mfcc14,mfcc15,mfcc16,mfcc17,mfcc18,mfcc19,mfcc20,label
0.841847779,0.0187615,0.368969818,0.648322202,0.550698354,0.280364078,0.484573051,0.539934393,0.624390283,0.26298698,0.496191452,0.908163104,0.384589503,0.352892803,0.548907537,0.300395809,0.623175708,0.325262032,0.208524379,0.579466586,0.545241189,0.602530852,0.210921092,0.611087098,0.130433051,0.198769017,0
0.560474922,0.098197244,0.44072563,0.429285018,0.481028972,0.699810924,0.335640623,0.203350767,0.252478447,0.398282833,0.541333388,0.926143582,0.656886667,0.477559837,0.478757103,0.378826023,0.738556999,0.142614872,0.754457167,0.291776571,0.589982778,0.255007764,0.212114725,0.32415526,0.440299382,0.281251654,0
0.465787803,0.258596686,0.402088193,0.511832563,0.492042009,0.419943108,0.515473938,0.261047906,0.569446182,0.307094065,0.471090959,0.986786377,0.473780918,0.26906516,0.240789843,0.256409451,0.424956647,0.15803939,0.528254163,0.325053787,0.619451793,0.191989018,0.333526106,0.098207724,0.04439412,0.151978779,0
0.379640517,0.270822439,0.252807173,0.336356852,0.316252301,0.252218697,0.595989752,0.561672206,0.560241686,0.2527135,0.532703354,0.878722246,0.412804839,0.358445503,0.407603146,0.359968459,0.735862898,0.230853396,0.752745536,0.515158351,0.740452789,0.518852143,0.270769572,0.397645597,0.239196523,0.262889153,0
0.463082242,0.115446881,0.31130284,0.448159606,0.407995886,0.289882428,0.359130141,0.217236867,0.677074907,0.320145854,0.399314263,0.567454533,0.500966086,0.37813367,0.47712144,0.317687897,0.596149286,0.371047361,0.705213193,0.485047788,0.764374644,0.271627739,0.369975234,0.371875018,0.308232654,0.209549188,0
0.649855659,0.133986641,0.608379719,0.778179616,0.731160676,0.545936854,0.453950923,0.23566608,0.566055472,0.090382387,0.488619558,0.52210886,0.511179736,0.16000857,0.478477845,0.262545324,0.437194861,0.243002371,0.342938124,0.469307628,0.556306725,0.602488963,0.38116781,0.517511152,0.503178277,0.394342856,1
0.351080437,0.161736668,0.166737883,0.157897624,0.142688935,0.180583648,0.574374567,0.756453737,0.176678919,0.117499808,0.452184745,0.527787607,0.186717521,0.346978726,0.325311013,0.212048103,0.797257948,0.117872606,0.770804891,0.737922398,0.678404892,0.468506336,0.516751248,0.060588501,0.485690645,0.329799589,1
0.551344887,0.515807047,0.441632697,0.704721009,0.577062581,0.236028036,0.75017602,0.295921468,0.672288342,0.276157191,0.766936137,0.696631843,0.576784134,0.476031017,0.515189663,0.593973676,0.783040976,0.561768504,0.705208507,0.810291065,0.802859004,0.725173573,0.547091473,0.621603166,0.40271218,0.397056529,1
0.583101913,0.009594736,0.643827687,0.879393233,0.823679082,0.734886915,0.332476926,0.29281619,0.752638062,0.276026408,0.67505804,0.841249286,0.522526151,0.470572815,0.527537144,0.609870217,0.608973687,0.591162912,0.412048955,0.673153142,0.512161065,0.720477939,0.368659462,0.335802539,0.520685726,0.228453098,1
0.498518954,0.414728734,0.28432642,0.55936081,0.434596958,0.214627974,0.76196863,0.663153788,0.689164737,0.178780206,0.432631076,0.760220476,0.404785665,0.529169944,0.400940655,0.758173107,0.462415803,0.542604705,0.667315261,0.838139338,0.726972045,0.498310391,0.780455558,0.631527563,0.635245324,0.353899794,1
